"multiplier","bg_variants","case_per_bg","control_per_bg","case_af","control_af"
2,740.7,2.11520087047872,2.07565871676827,0.00035253347841312,0.000345943119461378
3,743,3.08357118489979,3.0328946924696,0.000513928530816631,0.000505482448744933
4,745.7,4.13961003223145,4.11949543050729,0.000689935005371909,0.000686582571751216
5,753.1,5.1159982686203,5.11475491398932,0.000852666378103384,0.000852459152331554
6,754.3,6.39904375936619,6.30202170820597,0.0010665072932277,0.00105033695136766
8,751.866666666667,8.47643371633724,8.38887873792039,0.00141273895272287,0.00139814645632006
